,time,score,home,visit,quarter
305,6:41,,"


              Drummond OFF.Foul (P4) (K.Mauer)
            ",,
306,6:41,,"


              Drummond Offensive Foul Turnover (P1.T6)
            ",,
307,6:41,,"


              SUB: Maker FOR Drummond
            ",,
308,6:24,70 - 73,,"
              Antetokounmpo 1' Driving Layup (21 PTS)
              

",
309,5:59,,"


              MISS Brown 7' Floating Jump Shot
            ",,
310,5:56,,,"
              Brown REBOUND (Off:2 Def:3)
              

",
311,5:54,,"


              Brown S.FOUL (P5.T3) (K.Mauer)
            ",,
312,5:54,71 - 73,,"
              Middleton Free Throw 1 of 3 (12 PTS)
              

",
313,5:54,72 - 73,,"
              Middleton Free Throw 2 of 3 (13 PTS)
              

",
314,5:54,,"


              SUB: Kennard FOR Brown
            ",,
315,5:54,,,"
              SUB: Connaughton FOR Bledsoe
              

",
316,5:54,,,"
              SUB: G. Hill FOR Brown
              

",
317,5:54,73 - 73,,"
              Middleton Free Throw 3 of 3 (14 PTS)
              

",
318,5:42,73 - 76,"


              Griffin 26' 3PT Jump Shot (19 PTS) (Jackson 6 AST)
            ",,
319,5:29,75 - 76,,"
              Antetokounmpo 1' Cutting Dunk Shot (23 PTS) (Ilyasova 2 AST)
              

",
320,5:23,,,"
              G. Hill P.FOUL (P3.T1) (T.Brown)
              

",
321,5:13,75 - 79,"


              Griffin 27' 3PT Jump Shot (22 PTS) (Jackson 7 AST)
            ",,
322,5:05,77 - 79,,"
              Antetokounmpo 2' Driving Layup (25 PTS) (Ilyasova 3 AST)
              

",
323,5:05,,"


              Maker S.FOUL (P4.T4) (T.Brown)
            ",,
324,5:05,78 - 79,,"
              Antetokounmpo Free Throw 1 of 1 (26 PTS)
              

",
325,4:57,,,"
              Ilyasova P.FOUL (P3.T2) (T.Brown)
              

",
326,4:53,78 - 82,"


              Jackson  3PT Jump Shot (23 PTS) (Kennard 1 AST)
            ",,
327,4:35,,"


              Maker P.FOUL (P5.PN) (K.Mauer)
            ",,
328,4:35,,,,
329,4:35,79 - 82,,"
              Middleton Free Throw Technical (15 PTS)
              

",
330,4:35,80 - 82,,"
              Antetokounmpo Free Throw 1 of 2 (27 PTS)
              

",
331,4:35,,"


              SUB: Galloway FOR Griffin
            ",,
332,4:35,,,"
              SUB: Lopez FOR Ilyasova
              

",
333,4:35,81 - 82,,"
              Antetokounmpo Free Throw 2 of 2 (28 PTS)
              

",
334,4:30,,"


              PISTONS Timeout: Regular (Full 4 Short 0)
            ",,
335,4:30,,"


              SUB: Smith FOR Jackson
            ",,
336,4:30,,,"
              SUB: Mirotic FOR Middleton
              

",
337,4:27,,"


              Kennard Lost Ball Turnover (P1.T7)
            ","
              Connaughton STEAL (1 STL)
              

",
338,4:21,83 - 82,,"
              Connaughton 1' Running Dunk (4 PTS)
              

",
339,3:57,,"


              MISS Maker 27' 3PT Jump Shot
            ",,
340,3:57,,,"
              Bucks Rebound
              

",
341,3:43,86 - 82,,"
              Mirotic 25' 3PT Jump Shot (7 PTS) (Antetokounmpo 2 AST)
              

",
342,3:27,,"


              Smith Out of Bounds - Bad Pass Turnover Turnover (P1.T8)
            ",,
343,3:20,,"


              Galloway P.FOUL (P2.PN) (K.Mauer)
            ",,
344,3:20,87 - 82,,"
              Antetokounmpo Free Throw 1 of 2 (29 PTS)
              

",
345,3:20,,"


              SUB: Drummond FOR Maker
            ",,
346,3:20,,,"
              SUB: Brown FOR Lopez
              

",
347,3:20,88 - 82,,"
              Antetokounmpo Free Throw 2 of 2 (30 PTS)
              

",
348,3:09,88 - 84,"


              Smith 12' Pullup Jump Shot (2 PTS)
            ",,
349,2:58,,,"
              Connaughton Out of Bounds Lost Ball Turnover (P1.T10)
              

",
350,2:42,,"


              MISS Smith 10' Turnaround Jump Shot
            ",,
351,2:40,,,"
              Brown REBOUND (Off:2 Def:4)
              

",
352,2:39,,"


              Galloway S.FOUL (P3.PN) (T.Brown)
            ",,
353,2:39,,,"
              MISS Antetokounmpo Free Throw 1 of 2
              

",
354,2:39,,,"
              Bucks Rebound
              

",
355,2:39,,"


              SUB: Robinson III FOR Ellington
            ",,
356,2:39,,,"
              SUB: Ilyasova FOR Brown
              

",
357,2:39,89 - 84,,"
              Antetokounmpo Free Throw 2 of 2 (31 PTS)
              

",
358,2:26,,"


              MISS Smith 18' Jump Shot
            ",,
359,2:23,,,"
              Ilyasova REBOUND (Off:1 Def:7)
              

",
360,2:19,,,"
              MISS Antetokounmpo 25' 3PT Jump Shot
              

",
361,2:17,,"


              Galloway REBOUND (Off:0 Def:2)
            ",,
362,1:55,,"


              MISS Kennard 26' 3PT Jump Shot
            ",,
363,1:53,,,"
              G. Hill REBOUND (Off:0 Def:1)
              

",
364,1:41,,"


              Robinson III S.FOUL (P1.PN) (K.Mauer)
            ",,
365,1:41,,,"
              Bucks Timeout: Regular (Reg.3 Short 0)
              

",
366,1:41,,,"
              SUB: Bledsoe FOR G. Hill
              

",
367,1:41,,,"
              SUB: Brown FOR Connaughton
              

",
368,1:41,90 - 84,,"
              Antetokounmpo Free Throw 1 of 2 (32 PTS)
              

",
369,1:41,91 - 84,,"
              Antetokounmpo Free Throw 2 of 2 (33 PTS)
              

",
370,1:36,,,"
              Brown P.FOUL (P2.T3) (T.Brown)
              

",
371,1:36,,,"
              SUB: Connaughton FOR Antetokounmpo
              

",
372,1:28,,,"
              Ilyasova S.FOUL (P4.PN) (T.Brown)
              

",
373,1:28,,"


              MISS Drummond Free Throw 1 of 2
            ",,
374,1:28,,"


              PISTONS Rebound
            ",,
375,1:28,91 - 85,"


              Drummond Free Throw 2 of 2 (13 PTS)
            ",,
376,1:14,,,"
              MISS Mirotic 24' 3PT Jump Shot
              

",
377,1:11,,,"
              Brown REBOUND (Off:3 Def:4)
              

",
378,1:00,,,"
              MISS Bledsoe 14' Fadeaway Jumper
              

",
379,0:57,,,"
              Mirotic REBOUND (Off:1 Def:1)
              

",
380,0:57,93 - 85,,"
              Mirotic 1' Tip Layup Shot (9 PTS)
              

",
381,0:42,,"


              MISS Galloway 6' Driving Floating Jump Shot
            ",,
382,0:37,,"


              Drummond REBOUND (Off:5 Def:3)
            ",,
383,0:37,,"


              MISS Drummond 1' Tip Dunk Shot
            ",,
384,0:36,,,"
              Brown REBOUND (Off:3 Def:5)
              

",
385,0:36,95 - 85,,"
              Bledsoe 1' Driving Layup (9 PTS) (Brown 5 AST)
              

",
386,0:20,,"


              MISS Galloway 24' 3PT Jump Shot
            ",,
387,0:18,,,"
              Ilyasova REBOUND (Off:1 Def:8)
              

",
388,0:01,,,"
              MISS Bledsoe 12' Floating Jump Shot
              

",
389,0:01,,,"
              Bucks Rebound
              

",
390,0:00,95 - 85,Go to top ⇧,,
391,,,,,Q4
392,11:38,,"


              MISS Drummond 5' Floating Jump Shot
            ",,
393,11:36,,,"
              Brown REBOUND (Off:3 Def:6)
              

",
394,11:30,98 - 85,,"
              Middleton 25' 3PT Jump Shot (18 PTS)
              

",
395,11:23,,"


              MISS Griffin 26' 3PT Jump Shot
            ",,
396,11:21,,,"
              Bledsoe REBOUND (Off:1 Def:2)
              

",
397,11:10,100 - 85,,"
              Bledsoe 2' Layup (11 PTS)
              

",
398,10:47,100 - 88,"


              Jackson 24' 3PT Jump Shot (26 PTS) (Griffin 5 AST)
            ",,
399,10:42,,,"
              Ilyasova OFF.Foul (P5) (K.Mauer)
              

",
400,10:42,,,"
              Ilyasova Offensive Foul Turnover (P1.T11)
              

",
401,10:42,,,"
              SUB: Antetokounmpo FOR Ilyasova
              

",
402,10:22,100 - 90,"


              Drummond 1' Layup (15 PTS) (Griffin 6 AST)
            ",,
403,10:10,,,"
              MISS Bledsoe 25' 3PT Jump Shot
              

",
404,10:08,,"


              Drummond REBOUND (Off:5 Def:4)
            ",,
405,9:56,,"


              MISS Jackson 2' Driving Layup
            ",,
406,9:54,,"


              Drummond REBOUND (Off:6 Def:4)
            ",,
407,9:54,,"


              MISS Drummond 5' Putback Layup
            ","
              Lopez BLOCK (3 BLK)
              

",
408,9:54,,,"
              Middleton REBOUND (Off:0 Def:3)
              

",
409,9:50,,"


              Kennard STEAL (1 STL)
            ","
              Brown Lost Ball Turnover (P1.T12)
              

",
410,9:46,,"


              MISS Kennard 3' Running Layup
            ","
              Lopez BLOCK (4 BLK)
              

",
411,9:39,,,"
              Brown REBOUND (Off:3 Def:7)
              

",
412,9:37,,,"
              MISS Antetokounmpo 25' 3PT Jump Shot
              

",
413,9:37,,,"
              Middleton REBOUND (Off:1 Def:3)
              

",
414,9:37,,"


              SUB: Ellington FOR Kennard
            ",,
415,9:24,,,"
              MISS Middleton 9' Turnaround Jump Shot
              

",
416,9:20,,"


              Drummond REBOUND (Off:6 Def:5)
            ",,
417,9:16,,"


              MISS Griffin 2' Running Layup
            ",,
418,9:16,,,"
              Brown REBOUND (Off:3 Def:8)
              

",
419,9:16,,,"
              Brown OFF.Foul (P3) (K.Mauer)
              

",
420,9:16,,,"
              Brown Offensive Foul Turnover (P2.T13)
              

",
421,9:01,,"


              MISS Ellington 6' Hook Shot
            ","
              Lopez BLOCK (5 BLK)
              

",
422,8:58,,,"
              Lopez REBOUND (Off:0 Def:3)
              

",
423,8:42,103 - 90,,"
              Bledsoe 25' 3PT Jump Shot (14 PTS) (Antetokounmpo 3 AST)
              

",
424,8:35,,"


              PISTONS Timeout: Regular (Full 5 Short 0)
            ",,
425,8:35,,,"
              SUB: G. Hill FOR Brown
              

",
426,8:16,,"


              MISS Jackson 4' Driving Layup
            ","
              Antetokounmpo BLOCK (4 BLK)
              

",
427,8:13,,,"
              Lopez REBOUND (Off:0 Def:4)
              

",
428,8:11,105 - 90,,"
              Bledsoe 2' Running Layup (16 PTS) (Lopez 3 AST)
              

",
429,7:56,,"


              Griffin Lost Ball Turnover (P4.T9)
            ","
              Bledsoe STEAL (2 STL)
              

",
430,7:49,,,"
              MISS Lopez 25' 3PT Jump Shot
              

",
431,7:48,,,"
              Bucks Rebound
              

",
432,7:45,,"


              Griffin P.FOUL (P5.T1) (K.Mauer)
            ",,
433,7:34,,,"
              MISS Antetokounmpo 3' Layup
              

",
434,7:32,,,"
              Antetokounmpo REBOUND (Off:2 Def:6)
              

",
435,7:22,108 - 90,,"
              Antetokounmpo 25' 3PT Jump Shot (36 PTS) (Bledsoe 5 AST)
              

",
436,7:14,,"


              MISS Jackson 10' Driving Floating Jump Shot
            ",,
437,7:13,,,"
              Lopez REBOUND (Off:0 Def:5)
              

",
438,7:06,,"


              Griffin S.FOUL (P6.T2) (D.Collins)
            ",,
439,7:06,,"


              SUB: Kennard FOR Griffin
            ",,
440,7:06,,,"
              SUB: Connaughton FOR Bledsoe
              

",
441,7:06,109 - 90,,"
              Antetokounmpo Free Throw 1 of 2 (37 PTS)
              

",
442,7:06,110 - 90,,"
              Antetokounmpo Free Throw 2 of 2 (38 PTS)
              

",
443,6:49,,"


              MISS Kennard 5' Floating Jump Shot
            ",,
444,6:47,,,"
              Antetokounmpo REBOUND (Off:2 Def:7)
              

",
445,6:44,112 - 90,,"
              Antetokounmpo 2' Running Layup (40 PTS)
              

",
446,6:44,,"


              Jackson S.FOUL (P3.T3) (T.Brown)
            ",,
447,6:44,,,"
              SUB: Mirotic FOR Middleton
              

",
448,6:44,113 - 90,,"
              Antetokounmpo Free Throw 1 of 1 (41 PTS)
              

",
449,6:30,,"


              MISS Jackson 3' Driving Floating Jump Shot
            ",,
450,6:30,,"


              PISTONS Rebound
            ",,
451,6:30,,,"
              Mirotic L.B.FOUL (P1.T1) (T.Brown)
              

",
452,6:30,,,"
              SUB: Brown FOR Antetokounmpo
              

",
453,6:23,,"


              MISS Galloway 26' 3PT Jump Shot
            ",,
454,6:21,,,"
              Brown REBOUND (Off:3 Def:9)
              

",
455,6:14,115 - 90,,"
              Brown 2' Driving Layup (9 PTS)
              

",
456,6:06,,"


              Drummond OFF.Foul (P5) (K.Mauer)
            ",,
457,6:06,,"


              Drummond Offensive Foul Turnover (P2.T10)
            ",,
458,6:01,,,,
459,5:44,,,"
              Brown OFF.Foul (P4) (T.Brown)
              

",
460,5:44,,,"
              Brown Offensive Foul Turnover (P3.T14)
              

",
461,5:44,,,"
              SUB: Wilson FOR Lopez
              

",
462,5:28,,"


              MISS Ellington 26' 3PT Jump Shot
            ",,
463,5:25,,,"
              Wilson REBOUND (Off:0 Def:1)
              

",
464,5:18,,,"
              MISS G. Hill 25' 3PT Jump Shot
              

",
465,5:16,,"


              Drummond REBOUND (Off:6 Def:6)
            ",,
466,5:04,115 - 92,"


              Galloway 19' Jump Bank Shot (10 PTS)
            ",,
467,4:46,117 - 92,,"
              Wilson 2' Cutting Layup Shot (2 PTS) (G. Hill 2 AST)
              

",
468,4:32,,"


              MISS Galloway 26' 3PT Jump Shot
            ",,
469,4:30,,,"
              Brown REBOUND (Off:3 Def:10)
              

",
470,4:26,120 - 92,,"
              Mirotic  3PT Jump Shot (12 PTS) (Brown 6 AST)
              

",
471,4:20,,"


              PISTONS Timeout: Regular (Full 6 Short 0)
            ",,
472,4:20,,"


              SUB: Calderon FOR Drummond
            ",,
473,4:20,,"


              SUB: Thomas FOR Jackson
            ",,
474,4:20,,"


              SUB: Maker FOR Ellington
            ",,
475,4:20,,,"
              SUB: Snell FOR G. Hill
              

",
476,4:20,,,"
              SUB: Frazier FOR Brown
              

",
477,4:09,,"


              MISS Maker 3' Layup
            ",,
478,4:06,,,"
              Frazier REBOUND (Off:0 Def:1)
              

",
479,3:57,123 - 92,,"
              Wilson  3PT Jump Shot (5 PTS) (Frazier 1 AST)
              

",
480,3:39,,"


              Maker Out of Bounds Lost Ball Turnover (P2.T11)
            ",,
481,3:28,,"


              Kennard STEAL (2 STL)
            ","
              Mirotic Bad Pass Turnover (P1.T15)
              

",
482,3:21,123 - 94,"


              Kennard 15' Step Back Jump Shot (8 PTS)
            ",,
483,2:56,,,"
              Wilson Traveling Turnover (P1.T16)
              

",
484,2:50,,,"
              Mirotic P.FOUL (P2.T2) (D.Collins)
              

",
485,2:44,123 - 96,"


              Thomas 9' Driving Floating Bank Jump Shot (2 PTS) (Calderon 1 AST)
            ",,
486,2:44,,,"
              Snell S.FOUL (P1.T3) (T.Brown)
              

",
487,2:44,123 - 97,"


              Thomas Free Throw 1 of 1 (3 PTS)
            ",,
488,2:27,,,"
              MISS Mirotic 26' 3PT Jump Shot
              

",
489,2:25,,"


              Thomas REBOUND (Off:0 Def:1)
            ",,
490,2:22,123 - 99,"


              Thomas 3' Running Layup (5 PTS)
            ",,
491,2:02,,,"
              MISS Snell 24' 3PT Jump Shot
              

",
492,1:59,,,"
              Connaughton REBOUND (Off:1 Def:2)
              

",
493,1:51,,"


              Galloway STEAL (2 STL)
            ","
              Frazier Bad Pass Turnover (P1.T17)
              

",
494,1:46,123 - 102,"


              Kennard 24' 3PT Jump Shot (11 PTS) (Maker 1 AST)
            ",,
495,1:28,125 - 102,,"
              Wilson 2' Driving Layup (7 PTS) (Frazier 2 AST)
              

",
496,1:20,125 - 104,"


              Maker 3' Cutting Layup Shot (6 PTS) (Calderon 2 AST)
            ",,
497,1:20,,,"
              Wilson S.FOUL (P1.T4) (K.Mauer)
              

",
498,1:20,,"


              MISS Maker Free Throw 1 of 1
            ",,
499,1:18,,,"
              Mirotic REBOUND (Off:1 Def:2)
              

",
500,1:03,127 - 104,,"
              Frazier 2' Driving Layup (2 PTS)
              

",
501,0:53,,"


              MISS Thomas 13' Pullup Jump Shot
            ",,
502,0:50,,,"
              Connaughton REBOUND (Off:1 Def:3)
              

",
503,0:42,,"


              Calderon STEAL (1 STL)
            ","
              Mirotic Bad Pass Turnover (P2.T18)
              

",
504,0:27,,"


              MISS Thomas 24' 3PT Jump Shot
            ",,
505,0:24,,,"
              Connaughton REBOUND (Off:1 Def:4)
              

",
506,0:03,,,"
              Bucks Turnover: Shot Clock (T#19)
              

",
507,0:00,127 - 104,Go to top ⇧,,
508,00:00.0,,,,
509,00:00.0,,,,
510,00:03.4,,,,
511,00:24.8,,,,
512,00:27.3,,,,
513,00:42.1,,,,
514,00:50.5,,,,
515,00:53.0,,,,
516,01:03,127 - 104,,,
517,01:18,,,,
518,01:20,,,,
519,01:20,,,,
520,01:20,125 - 104,,,
521,01:28,125 - 102,,,
522,01:46,123 - 102,,,
523,01:51,,,,
524,01:59,,,,
525,02:02,,,,
526,02:22,123 - 99,,,
527,02:25,,,,
528,02:27,,,,
529,02:44,123 - 97,,,
530,02:44,,,,
531,02:44,123 - 96,,,
532,02:50,,,,
533,02:56,,,,
534,03:21,123 - 94,,,
535,03:28,,,,
536,03:39,,,,
537,03:57,123 - 92,,,
538,04:06,,,,
539,04:09,,,,
540,04:20,,,,
541,04:20,,,,
542,04:20,,,,
543,04:20,,,,
544,04:20,,,,
545,04:20,,,,
546,04:26,120 - 92,,,
547,04:30,,,,
548,04:32,,,,
549,04:46,117 - 92,,,
550,05:04,115 - 92,,,
551,05:16,,,,
552,05:18,,,,
553,05:25,,,,
554,05:28,,,,
555,05:44,,,,
556,05:44,,,,
557,05:44,,,,
558,05:55,,,,
559,06:01,,,,
560,06:06,,,,
561,06:06,,,,
562,06:14,115 - 90,,,
563,06:21,,,,
564,06:23,,,,
565,06:30,,,,
566,06:30,,,,
567,06:30,,,,
568,06:30,,,,
569,06:44,113 - 90,,,
570,06:44,,,,
571,06:44,,,,
572,06:44,112 - 90,,,
573,06:47,,,,
574,06:49,,,,
575,07:06,110 - 90,,,
576,07:06,109 - 90,,,
577,07:06,,,,
578,07:06,,,,
579,07:06,,,,
580,07:13,,,,
581,07:14,,,,
582,07:22,108 - 90,,,
583,07:32,,,,
584,07:34,,,,
585,07:45,,,,
586,07:48,,,,
587,07:48,,,,
588,07:49,,,,
589,07:56,,,,
590,08:11,105 - 90,,,
591,08:13,,,,
592,08:16,,,,
593,08:35,,,,
594,08:35,,,,
595,08:42,103 - 90,,,
596,08:58,,,,
597,09:01,,,,
598,09:16,,,,
599,09:16,,,,
600,09:16,,,,
601,09:16,,,,
602,09:20,,,,
603,09:24,,,,
604,09:37,,,,
605,09:37,,,,
606,09:37,,,,
607,09:37,,,,
608,09:39,,,,
609,09:46,,,,
610,09:50,,,,
611,09:54,,,,
612,09:54,,,,
613,09:54,,,,
614,09:56,,,,
615,10:08,,,,
616,10:10,,,,
617,10:22,100 - 90,,,
618,10:42,,,,
619,10:42,,,,
620,10:42,,,,
621,10:47,100 - 88,,,
622,11:10,100 - 85,,,
623,11:21,,,,
624,11:23,,,,
625,11:30,98 - 85,,,
626,11:36,,,,
627,11:38,,,,
628,12:00,,,,
629,00:00.0,,,,
630,00:01.0,,,,
631,00:01.6,,,,
632,00:18.4,,,,
633,00:20.5,,,,
634,00:36.0,95 - 85,,,
635,00:36.5,,,,
636,00:37.6,,,,
637,00:37.6,,,,
638,00:42.6,,,,
639,00:57.1,93 - 85,,,
640,00:57.1,,,,
641,01:00,,,,
642,01:11,,,,
643,01:14,,,,
644,01:28,91 - 85,,,
645,01:28,,,,
646,01:28,,,,
647,01:28,,,,
648,01:36,,,,
649,01:36,,,,
650,01:41,91 - 84,,,
651,01:41,90 - 84,,,
652,01:41,,,,
653,01:41,,,,
654,01:41,,,,
655,01:41,,,,
656,01:53,,,,
657,01:55,,,,
658,02:17,,,,
659,02:19,,,,
660,02:23,,,,
661,02:26,,,,
662,02:39,89 - 84,,,
663,02:39,,,,
664,02:39,,,,
665,02:39,,,,
666,02:39,,,,
667,02:39,,,,
668,02:40,,,,
669,02:42,,,,
670,02:57,,,,
671,02:58,,,,
672,03:09,88 - 84,,,
673,03:20,88 - 82,,,
674,03:20,,,,
675,03:20,,,,
676,03:20,87 - 82,,,
677,03:20,,,,
678,03:27,,,,
679,03:43,86 - 82,,,
680,03:57,,,,
681,03:57,,,,
682,03:57,,,,
683,04:21,83 - 82,,,
684,04:27,,,,
685,04:30,,,,
686,04:30,,,,
687,04:30,,,,
688,04:35,81 - 82,,,
689,04:35,,,,
690,04:35,,,,
691,04:35,80 - 82,,,
692,04:35,79 - 82,,,
693,04:35,,,,
694,04:35,,,,
695,04:53,78 - 82,,,
696,04:57,,,,
697,05:05,78 - 79,,,
698,05:05,,,,
699,05:05,77 - 79,,,
700,05:13,75 - 79,,,
701,05:23,,,,
702,05:29,75 - 76,,,
703,05:42,73 - 76,,,
704,05:54,73 - 73,,,
705,05:54,,,,
706,05:54,,,,
707,05:54,,,,
708,05:54,72 - 73,,,
709,05:54,71 - 73,,,
710,05:54,,,,
711,05:56,,,,
712,05:59,,,,
713,06:24,70 - 73,,,
714,06:41,,,,
715,06:41,,,,
716,06:41,,,,
717,06:53,,,,
718,06:56,,,,
719,07:08,,,,
720,07:10,,,,
721,07:29,,,,
722,07:33,68 - 73,,,
723,07:33,,,,
724,07:33,,,,
725,07:33,67 - 73,,,
726,07:45,65 - 73,,,
727,08:00,65 - 71,,,
728,08:00,,,,
729,08:00,64 - 71,,,
730,08:15,62 - 71,,,
731,08:45,62 - 68,,,
732,08:51,,,,
733,09:01,,,,
734,09:03,,,,
735,09:17,60 - 68,,,
736,09:41,60 - 66,,,
737,10:02,58 - 66,,,
738,10:10,,,,
739,10:12,,,,
740,10:28,58 - 64,,,
741,10:29,,,,
742,10:30,,,,
743,10:47,58 - 62,,,
744,10:49,,,,
745,10:52,,,,
746,11:07,,,,
747,11:10,,,,
748,11:19,,,,
749,11:19,,,,
750,11:19,,,,
751,11:24,,,,
752,11:27,,,,
753,11:39,,,,
754,11:44,,,,
755,12:00,,,,
756,00:00.0,,,,
757,00:01.9,56 - 62,,,
758,00:01.9,,,,
759,00:01.9,,,,
760,00:09.3,56 - 60,,,
761,00:09.3,,,,
762,00:09.3,,,,
763,00:09.3,,,,
764,00:09.3,,,,
765,00:09.3,,,,
766,00:09.3,,,,
767,00:09.3,,,,
768,00:10.1,,,,
769,00:29.2,,,,
770,00:31.4,,,,
771,00:34.3,,,,
772,00:36.8,,,,
773,00:50.2,,,,
774,00:50.2,,,,
775,00:50.2,,,,
776,00:51.3,,,,
777,00:55.0,,,,
778,01:14,55 - 60,,,
779,01:14,55 - 59,,,
780,01:14,,,,
781,01:37,55 - 58,,,
782,01:37,,,,
783,01:37,54 - 58,,,
784,01:37,,,,
785,01:38,,,,
786,01:41,,,,
787,02:03,,,,
788,02:03,,,,
789,02:04,,,,
790,02:04,,,,
791,02:04,,,,
792,02:04,,,,
793,02:04,,,,
794,02:04,53 - 58,,,
795,02:12,,,,
796,02:12,,,,
797,02:13,,,,
798,02:18,,,,
799,02:34,51 - 58,,,
800,02:57,51 - 55,,,
801,02:57,,,,
802,02:57,,,,
803,02:57,50 - 55,,,
804,03:04,,,,
805,03:08,,,,
806,03:23,48 - 55,,,
807,03:23,,,,
808,03:23,,,,
809,03:23,,,,
810,03:23,,,,
811,03:23,,,,
812,03:33,,,,
813,03:33,,,,
814,03:33,,,,
815,03:36,,,,
816,03:36,47 - 55,,,
817,03:36,,,,
818,03:36,,,,
819,03:43,,,,
820,03:46,,,,
821,03:48,,,,
822,04:03,47 - 54,,,
823,04:03,,,,
824,04:03,46 - 54,,,
825,04:14,44 - 54,,,
826,04:28,,,,
827,04:28,,,,
828,04:28,,,,
829,04:28,,,,
830,04:28,,,,
831,04:28,44 - 51,,,
832,04:28,,,,
833,04:46,43 - 51,,,
834,05:05,43 - 48,,,
835,05:18,40 - 48,,,
836,05:32,40 - 46,,,
837,05:54,38 - 46,,,
838,06:16,,,,
839,06:26,38 - 44,,,
840,06:46,38 - 42,,,
841,06:57,,,,
842,06:57,,,,
843,06:57,,,,
844,07:11,,,,
845,07:11,,,,
846,07:11,,,,
847,07:27,,,,
848,07:39,36 - 42,,,
849,07:39,,,,
850,07:39,,,,
851,07:39,36 - 41,,,
852,07:39,,,,
853,07:40,,,,
854,07:41,,,,
855,07:52,36 - 40,,,
856,08:05,,,,
857,08:06,34 - 40,,,
858,08:10,,,,
859,08:26,34 - 38,,,
860,08:41,34 - 36,,,
861,08:59,32 - 36,,,
862,09:12,,,,
863,09:12,,,,
864,09:12,,,,
865,09:12,,,,
866,09:12,,,,
867,09:12,,,,
868,09:15,,,,
869,09:19,,,,
870,09:30,,,,
871,09:32,,,,
872,09:40,,,,
873,09:47,32 - 33,,,
874,09:51,,,,
875,09:53,,,,
876,09:59,,,,
877,10:01,,,,
878,10:10,,,,
879,10:12,,,,
880,10:18,,,,
881,10:20,,,,
882,10:46,32 - 31,,,
883,10:46,,,,
884,10:46,,,,
885,10:46,,,,
886,10:51,31 - 31,,,
887,11:12,31 - 28,,,
888,11:18,,,,
889,11:19,,,,
890,11:21,,,,
891,11:38,29 - 28,,,
892,12:00,,,,
893,00:00.0,,,,
894,00:00.0,,,,
895,00:01.0,26 - 28,,,
896,00:01.0,,,,
897,00:01.0,25 - 28,,,
898,00:01.0,,,,
899,00:01.0,,,,
900,00:01.8,,,,
901,00:20.0,24 - 28,,,
902,00:24.3,,,,
903,00:27.8,,,,
904,00:35.5,,,,
905,00:37.8,,,,
906,00:58.9,,,,
907,00:58.9,,,,
908,00:58.9,,,,
909,01:22,,,,
910,01:24,,,,
911,01:24,,,,
912,01:24,,,,
913,01:24,21 - 28,,,
914,01:24,,,,
915,01:29,,,,
916,01:31,,,,
917,01:37,,,,
918,01:39,,,,
919,02:06,20 - 28,,,
920,02:11,,,,
921,02:13,,,,
922,02:23,,,,
923,02:25,,,,
924,02:34,,,,
925,02:34,,,,
926,02:34,,,,
927,02:34,,,,
928,02:34,,,,
929,02:34,,,,
930,02:34,,,,
931,02:41,,,,
932,02:46,,,,
933,03:11,20 - 26,,,
934,03:11,20 - 25,,,
935,03:11,,,,
936,03:14,,,,
937,03:21,,,,
938,03:24,,,,
939,03:46,20 - 24,,,
940,03:55,,,,
941,03:57,,,,
942,04:13,18 - 24,,,
943,04:21,,,,
944,04:21,,,,
945,04:37,16 - 24,,,
946,04:44,,,,
947,04:44,,,,
948,04:56,16 - 22,,,
949,05:12,,,,
950,05:15,,,,
951,05:33,14 - 22,,,
952,05:33,,,,
953,05:33,,,,
954,05:33,13 - 22,,,
955,05:34,,,,
956,05:36,,,,
957,05:45,,,,
958,05:48,,,,
959,06:01,,,,
960,06:03,,,,
961,06:03,,,,
962,06:03,11 - 22,,,
963,06:19,,,,
964,06:19,,,,
965,06:19,,,,
966,06:21,11 - 20,,,
967,06:34,8 - 20,,,
968,06:36,,,,
969,06:39,,,,
970,06:44,,,,
971,06:56,,,,
972,06:59,,,,
973,06:59,,,,
974,06:59,,,,
975,06:59,,,,
976,06:59,,,,
977,06:59,,,,
978,07:00,,,,
979,07:03,,,,
980,07:20,,,,
981,07:22,,,,
982,07:34,8 - 18,,,
983,07:43,,,,
984,07:45,,,,
985,08:03,,,,
986,08:03,8 - 15,,,
987,08:13,,,,
988,08:19,,,,
989,08:19,,,,
990,08:32,8 - 13,,,
991,08:33,,,,
992,08:34,,,,
993,08:36,,,,
994,08:42,,,,
995,08:45,8 - 11,,,
996,08:45,,,,
997,08:48,,,,
998,09:03,8 - 9,,,
999,09:03,,,,
1000,09:03,7 - 9,,,
1001,09:03,,,,
1002,09:06,,,,
1003,09:13,,,,
1004,09:20,5 - 9,,,
1005,09:38,5 - 7,,,
1006,09:51,,,,
1007,09:55,,,,
1008,09:56,,,,
1009,09:58,,,,
1010,09:59,,,,
1011,10:01,,,,
1012,10:16,3 - 7,,,
1013,10:16,,,,
1014,10:16,,,,
1015,10:16,,,,
1016,10:23,2 - 7,,,
1017,10:34,2 - 5,,,
1018,10:49,0 - 5,,,
1019,11:00,,,,
1020,11:02,,,,
1021,11:08,,,,
1022,11:10,,,,
1023,11:38,0 - 3,,,
1024,11:55,,,,
1025,12:00,,,,
